objectid,title,filename,collection,location,longitude,latitude,agent,date,idnumber,catalogrecord,collectionnum,worktype,materials,subject,description,measurement,source,bibliography,citeas,repository,collectionprogram,archcoll,box,folder,format,rights
obj11,Parchment fragment on f. 132,https://stor.artstor.org/stor/9935fad7-60c5-43a3-b795-27d9e0f9e245_size2,Images from the Rare Book and Manuscript Collections,"Ferrara, Italy",11.619787,44.8392,,1323-1350,RMC2009_0159,3978609,,parchment,,Catholic Church --Liturgy --Texts --Manuscripts,,,Ordo manualis [Ferrariensis Ecclesiae],f. 132,,Division of Rare and Manuscript Collections_Cornell University Library,Manuscripts,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu"
obj12,Parchment fragment on f. 169,https://stor.artstor.org/stor/7ee967f8-f169-422f-ae57-41ad60f2823c_size2,Images from the Rare Book and Manuscript Collections,"Ferrara, Italy",11.619787,44.8392,,1323-1350,RMC2009_0161,3978609,,parchment,,Catholic Church --Liturgy --Texts --Manuscripts,,,Ordo manualis [Ferrariensis Ecclesiae],f. 169,,Division of Rare and Manuscript Collections_Cornell University Library,Manuscripts,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu"
obj13,Parchment fragment on f. 58,https://stor.artstor.org/stor/426db5ab-167f-4ca5-941b-bece0d5c4ceb_size2,Images from the Rare Book and Manuscript Collections,"Ferrara, Italy",11.619787,44.8392,,1323-1350,RMC2009_0155,3978609,,parchment,,Catholic Church --Liturgy --Texts --Manuscripts,,,Ordo manualis [Ferrariensis Ecclesiae],f. 58,,Division of Rare and Manuscript Collections_Cornell University Library,Manuscripts,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu"
obj14,Parchment fragment on f. 66,https://stor.artstor.org/stor/2ad65786-756a-41d2-9e3a-3310e71aa5ff_size2,Images from the Rare Book and Manuscript Collections,"Ferrara, Italy",11.619787,44.8392,,1323-1350,RMC2009_0157,3978609,,parchment,,Catholic Church --Liturgy --Texts --Manuscripts,,,Ordo manualis [Ferrariensis Ecclesiae],f. 66,,Division of Rare and Manuscript Collections_Cornell University Library,Manuscripts,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu"
obj15,"AM [aman. frag.] [Divina commedia. Purgatorio: Canto XXXI lines 45-145; Canto XXXII lines 1-90] (Manuscript fragment from Dante, Divine Comedy)",https://www.jstor.org/stable/community.11177439,Images from the Rare Book and Manuscript Collections,"Ithaca, NY",-76.501884,42.443962,Unknown,1350,U0250_0049,,,manuscripts (document genre),on vellum,,,,,,,,,,,,image/jpeg,For Educational Use by Cornell Community
obj16,Bonaventure's Lyffe of Chryste in Englysshe p.4,,Images from the Rare Book and Manuscript Collections,"Ithaca, NY",-76.501884,42.443962,,1430,RMC2007_0221,3817329,,"text
prints (visual works)",,Religion,Bonaventure's Life of Christ in England,,The Mirrour of the Blessed Lyf of Jesu Christi / Nicholas Love,p.4,,Division of Rare and Manuscript Collections_Cornell University Library,Rare Books,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu"
obj17,Bonaventure's Lyffe of Chryste in Englysshe p.2,,Images from the Rare Book and Manuscript Collections,"Ithaca, NY",-76.501884,42.443962,,1430,RMC2007_0219,3817329,,"text
prints (visual works)",,Religion,Bonaventure's Life of Christ in England,,The Mirrour of the Blessed Lyf of Jesu Christi / Nicholas Love,p.2,,Division of Rare and Manuscript Collections_Cornell University Library,Rare Books,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu"
obj18,Bonaventure's Lyffe of Chryste in Englysshe p.1,,Images from the Rare Book and Manuscript Collections,"Ithaca, NY",-76.501884,42.443962,,1430,RMC2007_0218,3817329,,"text
prints (visual works)",,Religion,Bonaventure's Life of Christ in England,,The Mirrour of the Blessed Lyf of Jesu Christi / Nicholas Love,p.1,,Division of Rare and Manuscript Collections_Cornell University Library,Rare Books,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu"
obj19,Bonaventure's Lyffe of Chryste in Englysshe p.3,,Images from the Rare Book and Manuscript Collections,"Ithaca, NY",-76.501884,42.443962,,1430,RMC2007_0220,3817329,,"text
prints (visual works)",,Religion,Bonaventure's Life of Christ in England,,The Mirrour of the Blessed Lyf of Jesu Christi / Nicholas Love,p.3,,Division of Rare and Manuscript Collections_Cornell University Library,Rare Books,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu"
obj20,[Abbreviated version of the Collato.],,Images from the Rare Book and Manuscript Collections,"Ithaca, NY",-76.501884,42.443962,,1450,RMC2005_0639,3548515,,manuscripts (document genre),,,,"285.0 x 200.0 (millimeters, height x width)",Secretum,,,Division of Rare and Manuscript Collections_Cornell University Library,Rare Books,,,,image/jpeg,
,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,
,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,
